task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
28	ea/c65248	1870972	samFlagstatFromBam (1108134)	COMPLETED	0	2021-01-06 11:02:28.878	1m 27s	1m 8s	64.9%	9.7 MB	169.9 MB	804.5 MB	4.4 KB
13	f6/d93c80	1871018	coverageMetricsFromBam (1044945)	COMPLETED	0	2021-01-06 11:02:34.909	1m 21s	1m 3s	504.9%	26.9 MB	773.9 MB	6.9 GB	21.1 KB
77	7b/f19d0e	1871032	samFlagstatFromBam (1200893)	COMPLETED	0	2021-01-06 11:02:35.566	1m 20s	1m 4s	46.4%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
141	2d/521a75	1871036	samFlagstatFromBam (1315136)	COMPLETED	0	2021-01-06 11:02:35.745	1m 20s	1m 1s	44.7%	9.7 MB	169.9 MB	879.3 MB	4.4 KB
57	8c/b72028	1871041	samFlagstatFromBam (1179669)	COMPLETED	0	2021-01-06 11:02:50.779	1m 5s	47.6s	90.6%	9.8 MB	170 MB	1.1 GB	4.4 KB
47	2f/29cfa8	1870944	samStatsFromBam (1108134)	COMPLETED	0	2021-01-06 11:02:26.474	1m 59s	1m 32s	100.1%	9.7 MB	169.9 MB	808.8 MB	4.4 KB
11	9d/cf9147	1870945	samStatsFromBam (1007437)	COMPLETED	0	2021-01-06 11:02:26.543	1m 59s	1m 46s	100.3%	9.7 MB	169.9 MB	1017 MB	4.4 KB
21	d5/2399e2	1870947	samFlagstatFromBam (1097106-2)	COMPLETED	0	2021-01-06 11:02:26.643	1m 59s	1m 24s	100.0%	9.5 MB	169.7 MB	1.2 GB	4.4 KB
6	45/134c39	1870950	samStatsFromBam (1001016)	COMPLETED	0	2021-01-06 11:02:26.800	1m 59s	1m 44s	100.1%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
63	fc/934349	1870958	samStatsFromBam (1200893)	COMPLETED	0	2021-01-06 11:02:28.171	1m 57s	1m 37s	103.1%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
5	83/55c77b	1870960	coverageMetricsFromBam (1001016)	COMPLETED	0	2021-01-06 11:02:28.280	1m 57s	1m 15s	504.6%	39.6 MB	776 MB	6.9 GB	21.2 KB
7	da/20492b	1870962	coverageMetricsFromBam (1007437)	COMPLETED	0	2021-01-06 11:02:28.378	1m 57s	1m 43s	510.6%	45.8 MB	771.2 MB	7.2 GB	21.2 KB
40	92/c1b790	1870966	coverageMetricsFromBam (1097106-2)	COMPLETED	0	2021-01-06 11:02:28.575	1m 57s	1m 34s	479.5%	31.4 MB	769.7 MB	7.6 GB	21.2 KB
43	a7/075d2e	1870967	coverageMetricsFromBam (1115917)	COMPLETED	0	2021-01-06 11:02:28.620	1m 57s	1m 32s	549.3%	27.7 MB	770.9 MB	7.2 GB	21.2 KB
58	13/f0ee11	1870987	samFlagstatFromBam (1183640)	COMPLETED	0	2021-01-06 11:02:29.595	1m 56s	1m 36s	50.5%	9.4 MB	169.6 MB	759.5 MB	4.4 KB
60	d6/910bfd	1870991	samStatsFromBam (1183640)	COMPLETED	0	2021-01-06 11:02:29.785	1m 56s	1m 36s	99.7%	9.2 MB	169.4 MB	759.5 MB	4.4 KB
20	3c/9aaa92	1871006	coverageMetricsFromBam (1049451)	COMPLETED	0	2021-01-06 11:02:33.099	1m 53s	1m 35s	494.0%	29.9 MB	770.2 MB	7.7 GB	53.9 KB
111	aa/5ff30f	1871008	samStatsFromBam (138681)	COMPLETED	0	2021-01-06 11:02:33.187	1m 52s	1m 33s	100.3%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
25	19/aeb2e9	1871009	coverageMetricsFromBam (1050843)	COMPLETED	0	2021-01-06 11:02:33.236	1m 52s	1m 24s	543.5%	29.6 MB	773.4 MB	6.9 GB	21.2 KB
45	ca/199912	1871012	coverageMetricsFromBam (1108134)	COMPLETED	0	2021-01-06 11:02:33.367	1m 52s	1m 18s	533.2%	25.4 MB	774.4 MB	6.8 GB	21.2 KB
112	9c/86ce9f	1871014	coverageMetricsFromBam (1199402)	COMPLETED	0	2021-01-06 11:02:33.454	1m 52s	1m 33s	499.8%	21.1 MB	770.8 MB	7.6 GB	42.4 KB
34	c6/e56027	1871017	coverageMetricsFromBam (1086888)	COMPLETED	0	2021-01-06 11:02:34.862	1m 51s	1m 17s	500.7%	25.3 MB	774.8 MB	6.6 GB	21 KB
26	3e/7f48fa	1871020	coverageMetricsFromBam (105213)	COMPLETED	0	2021-01-06 11:02:34.999	1m 51s	1m 37s	502.4%	24.3 MB	774.2 MB	6.7 GB	21.2 KB
139	13/33990b	1871035	coverageMetricsFromBam (134807)	COMPLETED	0	2021-01-06 11:02:35.703	1m 50s	1m 37s	626.8%	24.4 MB	772.3 MB	6.9 GB	21.2 KB
145	bc/4ff59d	1871038	coverageMetricsFromBam (1408508)	COMPLETED	0	2021-01-06 11:02:35.835	1m 50s	1m 25s	503.1%	23 MB	772.7 MB	6.8 GB	21.2 KB
156	50/662923	1871050	samFlagstatFromBam (1408508)	COMPLETED	0	2021-01-06 11:03:55.655	34.9s	21.3s	86.1%	9.8 MB	170 MB	501 MB	4.4 KB
172	af/39f97c	1871069	samFlagstatFromBam (1494222)	COMPLETED	0	2021-01-06 11:04:26.524	34.1s	24.3s	70.2%	9.8 MB	170 MB	726.4 MB	4.4 KB
44	8f/dbb19c	1870942	samStatsFromBam (1097106-2)	COMPLETED	0	2021-01-06 11:02:26.338	2m 44s	2m 13s	99.4%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
46	53/b4d37e	1870946	samStatsFromBam (1097106)	COMPLETED	0	2021-01-06 11:02:26.585	2m 44s	2m 18s	100.2%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
62	14/541aa1	1870955	samStatsFromBam (1199402)	COMPLETED	0	2021-01-06 11:02:28.007	2m 43s	2m 25s	100.0%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
32	a0/2d91ae	1870971	coverageMetricsFromBam (1071036)	COMPLETED	0	2021-01-06 11:02:28.831	2m 42s	2m 3s	496.0%	27.4 MB	775.7 MB	6.7 GB	21.2 KB
75	12/61a300	1870973	coverageMetricsFromBam (116181)	COMPLETED	0	2021-01-06 11:02:28.920	2m 42s	2m 6s	493.9%	26.6 MB	776.3 MB	6.9 GB	42.1 KB
22	a7/4e9aaa	1870974	samFlagstatFromBam (1097106)	COMPLETED	0	2021-01-06 11:02:28.967	2m 42s	2m 7s	65.7%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
10	49/ae44f5	1870976	samFlagstatFromBam (1049451)	COMPLETED	0	2021-01-06 11:02:29.067	2m 42s	2m 5s	65.7%	9.6 MB	169.9 MB	1.2 GB	4.4 KB
2	81/ec5de6	1870977	samFlagstatFromBam (1001016)	COMPLETED	0	2021-01-06 11:02:29.119	2m 42s	2m	65.9%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
